1)
Procesos del usuario con el coamdno ps -fu mauriayllon

UID         PID   PPID  C STIME TTY          TIME CMD
mauriay+   4566      1  0 Feb12 ?        00:00:00 /lib/systemd/systemd --user
mauriay+   4567   4566  0 Feb12 ?        00:00:00 (sd-pam)
mauriay+   4580      1  0 Feb12 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
mauriay+   4584   4562  0 Feb12 tty2     00:00:00 /usr/lib/gdm3/gdm-x-session --run-script env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
mauriay+   4587   4584  0 Feb12 tty2     00:02:14 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
mauriay+   4594   4566  0 Feb12 ?        00:00:01 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
mauriay+   4598   4584  0 Feb12 tty2     00:00:00 /usr/lib/gnome-session/gnome-session-binary --session=ubuntu
mauriay+   4693   4598  0 Feb12 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu gnome-session --session=ubuntu
mauriay+   4696   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfsd
mauriay+   4701   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
mauriay+   4710   4566  0 Feb12 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
mauriay+   4715   4710  0 Feb12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
mauriay+   4718   4566  0 Feb12 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
mauriay+   4731   4566  0 Feb12 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
mauriay+   4746   4598  0 Feb12 tty2     00:04:56 /usr/bin/gnome-shell
mauriay+   4757      1  0 Feb12 ?        00:00:15 /usr/bin/pulseaudio --start --log-target=syslog
mauriay+   4769   4746  0 Feb12 tty2     00:00:21 ibus-daemon --xim --panel disable
mauriay+   4771   4566  0 Feb12 ?        00:00:00 /usr/libexec/xdg-permission-store
mauriay+   4779   4769  0 Feb12 tty2     00:00:00 /usr/lib/ibus/ibus-dconf
mauriay+   4782      1  0 Feb12 tty2     00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
mauriay+   4784   4566  0 Feb12 ?        00:00:00 /usr/lib/ibus/ibus-portal
mauriay+   4794   4566  0 Feb12 ?        00:00:00 /usr/lib/gnome-shell/gnome-shell-calendar-server
mauriay+   4800   4566  0 Feb12 ?        00:00:00 /usr/lib/evolution/evolution-source-registry
mauriay+   4805   4566  0 Feb12 ?        00:00:00 /usr/lib/dconf/dconf-service
mauriay+   4811   4566  0 Feb12 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-daemon
mauriay+   4817   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
mauriay+   4821   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
mauriay+   4826   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
mauriay+   4835   4566  0 Feb12 ?        00:00:00 /usr/lib/gnome-online-accounts/goa-identity-service
mauriay+   4837   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
mauriay+   4843   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
mauriay+   4850   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
mauriay+   4852   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
mauriay+   4853   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
mauriay+   4854   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
mauriay+   4857   4598  0 Feb12 tty2     00:00:01 /usr/lib/gnome-settings-daemon/gsd-sharing
mauriay+   4860   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
mauriay+   4867   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
mauriay+   4869   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
mauriay+   4879   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-wacom
mauriay+   4881   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
mauriay+   4885   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
mauriay+   4887   4598  0 Feb12 tty2     00:00:12 /usr/lib/gnome-settings-daemon/gsd-color
mauriay+   4889   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
mauriay+   4892   4598  0 Feb12 tty2     00:00:02 /usr/lib/gnome-settings-daemon/gsd-housekeeping
mauriay+   4893   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
mauriay+   4898   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
mauriay+   4899   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-mouse
mauriay+   4914      1  0 Feb12 tty2     00:00:00 /usr/lib/gnome-settings-daemon/gsd-printer
mauriay+   4943   4598  0 Feb12 tty2     00:00:05 nautilus-desktop
mauriay+   4948   4598  0 Feb12 tty2     00:00:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
mauriay+   4953      1  0 Feb12 tty2     00:01:49 /usr/bin/vmtoolsd -n vmusr --blockFd 3
mauriay+   4963   4696  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.7 /org/gtk/gvfs/exec_spaw/0
mauriay+   4996   4566  0 Feb12 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory
mauriay+   5005   4996  0 Feb12 ?        00:00:00 /usr/lib/evolution/evolution-calendar-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.Calendarx4996x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/Calendar/4996/2
mauriay+   5020   4566  0 Feb12 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory
mauriay+   5027   5020  0 Feb12 ?        00:00:00 /usr/lib/evolution/evolution-addressbook-factory-subprocess --factory all --bus-name org.gnome.evolution.dataserver.Subprocess.Backend.AddressBookx5020x2 --own-path /org/gnome/evolution/dataserver/Subprocess/Backend/AddressBook/5020/2
mauriay+   5043   4769  0 Feb12 tty2     00:00:07 /usr/lib/ibus/ibus-engine-simple
mauriay+   5046   4566  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
mauriay+   5091   4598  0 Feb12 tty2     00:00:09 /usr/bin/gnome-software --gapplication-service
mauriay+   5093   4598  0 Feb12 tty2     00:00:01 update-notifier
mauriay+   5255   4598  0 Feb12 tty2     00:00:00 /usr/lib/deja-dup/deja-dup-monitor
mauriay+   9115   4566  0 Feb12 ?        00:00:00 /usr/bin/zeitgeist-daemon
mauriay+   9122   4566  0 Feb12 ?        00:00:00 /usr/lib/zeitgeist/zeitgeist/zeitgeist-fts
mauriay+  19809   4696  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfsd-network --spawner :1.7 /org/gtk/gvfs/exec_spaw/3
mauriay+  19884   4696  0 Feb12 ?        00:00:00 /usr/lib/gvfs/gvfsd-dnssd --spawner :1.7 /org/gtk/gvfs/exec_spaw/7
mauriay+  21370   4566  0 Feb12 ?        00:00:05 /usr/bin/nautilus --gapplication-service
mauriay+  21502      1  0 Feb12 tty2     00:00:24 /usr/lib/firefox/firefox -new-window
mauriay+  21543  21502  0 Feb12 tty2     00:00:02 /usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 1 -prefMapSize 179012 -parentBuildID 20190718161435 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 21502 true tab
mauriay+  21588  21502  0 Feb12 tty2     00:00:06 /usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 6608 -prefMapSize 179012 -parentBuildID 20190718161435 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 21502 true tab
mauriay+  21638  21502  0 Feb12 tty2     00:00:00 /usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 7394 -prefMapSize 179012 -parentBuildID 20190718161435 -greomni /usr/lib/firefox/omni.ja -appomni /usr/lib/firefox/browser/omni.ja -appdir /usr/lib/firefox/browser 21502 true tab
mauriay+  24052   4566  0 Feb12 ?        00:00:24 /opt/sublime_text/sublime_text --fwdargv0 /usr/bin/subl nombres.txt
mauriay+  24065  24052  0 Feb12 ?        00:00:00 /opt/sublime_text/plugin_host 24052 --auto-shell-env
mauriay+  24108   4566  0 Feb12 ?        00:00:09 /usr/lib/gnome-terminal/gnome-terminal-server
mauriay+  24118  24108  0 Feb12 pts/0    00:00:00 bash
mauriay+  26877  24118  0 04:32 pts/0    00:00:00 ps -fu mauriayllon

2)
Procesos de todos los usuarios con ps -ef

UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0 Feb12 ?        00:00:08 /sbin/init auto noprompt
root          2      0  0 Feb12 ?        00:00:00 [kthreadd]
root          3      2  0 Feb12 ?        00:00:00 [rcu_gp]
root          4      2  0 Feb12 ?        00:00:00 [rcu_par_gp]
root          6      2  0 Feb12 ?        00:00:00 [kworker/0:0H-kb]
root          8      2  0 Feb12 ?        00:00:00 [mm_percpu_wq]
root          9      2  0 Feb12 ?        00:00:02 [ksoftirqd/0]
root         10      2  0 Feb12 ?        00:00:07 [rcu_sched]
root         11      2  0 Feb12 ?        00:00:00 [migration/0]
root         12      2  0 Feb12 ?        00:00:00 [idle_inject/0]
root         14      2  0 Feb12 ?        00:00:00 [cpuhp/0]
root         15      2  0 Feb12 ?        00:00:00 [kdevtmpfs]
root         16      2  0 Feb12 ?        00:00:00 [netns]
root         17      2  0 Feb12 ?        00:00:00 [rcu_tasks_kthre]
root         18      2  0 Feb12 ?        00:00:00 [kauditd]
root         19      2  0 Feb12 ?        00:00:00 [khungtaskd]
root         20      2  0 Feb12 ?        00:00:00 [oom_reaper]
root         21      2  0 Feb12 ?        00:00:00 [writeback]
root         22      2  0 Feb12 ?        00:00:01 [kcompactd0]
root         23      2  0 Feb12 ?        00:00:00 [ksmd]
root         24      2  0 Feb12 ?        00:00:00 [khugepaged]
root         25      2  0 Feb12 ?        00:00:00 [crypto]
root         26      2  0 Feb12 ?        00:00:00 [kintegrityd]
root         27      2  0 Feb12 ?        00:00:00 [kblockd]
root         28      2  0 Feb12 ?        00:00:00 [tpm_dev_wq]
root         29      2  0 Feb12 ?        00:00:00 [ata_sff]
root         30      2  0 Feb12 ?        00:00:00 [md]
root         31      2  0 Feb12 ?        00:00:00 [edac-poller]
